Place in 2018,Place in 2017,Subject of the RF,Maximum two kids,Maximum one kids
1,1,"Ямало-Ненецкий автономный округ
",128519,144334
2,2,"Чукотский автономный округ
",107816,130388
3,3,"Москва
",102397,116347
4,5,"Магаданская область
",94735,114325
5,4,"Сахалинская область
",92162,106788
6,6,"Ханты-Мансийский автономный округ — Югра
",82086,96456
7,8,"Ненецкий автономный округ
",79338,100841
8,7,"Санкт-Петербург
",74930,85649
9,9,"Республика Саха (Якутия)
",66000,82933
10,10,"Камчатский край
",63070,84004
11,12,"Мурманская область
",54973,69903
12,11,"Московская область
",51615,63304
13,13,"Республика Коми
",47106,59993
14,15,"Тюменская область
",45357,56254
15,14,"Ленинградская область
",44433,54180
16,18,"Архангельская область
",41184,52833
17,16,"Красноярский край
",40577,52814
18,17,"Иркутская область
",40178,50914
19,20,"Хабаровский край
",37559,51606
20,24,"Амурская область
",37519,49163
21,19,"Томская область
",36945,48233
22,22,"Республика Хакасия
",36120,46406
23,25,"Кемеровская область
",35790,45535
24,21,"Республика Татарстан
",34016,42806
25,23,"Калужская область
",33100,43198
26,27,"Забайкальский край
",32829,44520
27,26,"Свердловская область
",31111,41945
28,35,"Приморский край
",30657,44290
29,29,"Челябинская область
",30030,39899
30,40,"Республика Тыва
",29670,40152
31,32,"Республика Бурятия
",29637,40399
32,28,"Республика Башкортостан
",29451,38345
33,34,"Пермский край
",28933,39222
34,31,"Белгородская область
",28852,37044
35,30,"Тульская область
",28383,37974
36,33,"Омская область
",28049,37458
37,38,"Ярославская область
",27359,37002
38,41,"Липецкая область
",27221,36073
39,37,"Воронежская область
",27189,35599
40,49,"Астраханская область
",26769,37039
41,46,"Вологодская область
",26463,37121
42,36,"Нижегородская область
",26279,35979
43,39,"Удмуртская Республика
",25984,35095
44,50,"Республика Карелия
",25566,37671
45,44,"Краснодарский край
",25505,35333
46,47,"Самарская область
",25491,35380
47,42,"Новосибирская область
",25451,36572
48,48,"Оренбургская область
",24434,33482
49,43,"Рязанская область
",24232,33742
50,56,"Еврейская автономная область
",23877,37382
51,53,"Волгоградская область
",22608,31875
52,57,"Владимирская область
",22520,32127
53,51,"Курская область
",22195,31302
54,66,"Республика Алтай
",21461,31275
55,52,"Ставропольский край
",21400,30334
56,45,"Калининградская область
",20364,30990
57,59,"Ростовская область
",20347,30500
58,55,"Новгородская область
",19224,29561
59,54,"Пензенская область
",19145,28383
60,67,"Севастополь
",18916,29652
61,60,"Чувашская Республика
",18214,26960
62,65,"Тверская область
",17866,28456
63,58,"Республика Мордовия
",17741,26573
64,62,"Республика Марий Эл
",17611,26895
65,61,"Саратовская область
",17414,26261
66,68,"Республика Крым
",17058,27330
67,63,"Тамбовская область
",16913,25514
68,70,"Смоленская область
",16632,26686
69,64,"Ульяновская область
",16542,26250
70,69,"Республика Адыгея
",16421,25466
71,72,"Республика Северная Осетия — Алания
",15951,25266
72,77,"Костромская область
",14990,24638
73,75,"Курганская область
",14949,25051
74,73,"Республика Калмыкия
",14913,24101
75,71,"Орловская область
",14632,24137
76,74,"Кировская область
",14289,24316
77,76,"Брянская область
",14288,23958
78,80,"Республика Ингушетия
",12893,22525
79,78,"Карачаево-Черкесская Республика
",12159,21673
80,79,"Алтайский край
",12099,21773
81,83,"Республика Дагестан
",11663,21068
82,81,"Чеченская Республика
",10101,20299
83,84,"Псковская область
",9884,20306
84,82,"Ивановская область
",9836,19789
85,85,"Кабардино-Балкарская Республика
",6010,17525
