Место,Субъект РФ,"Уровень безработицы, %","Изменение уровня безработицы к аналогичному периоду 2018-2019 гг., п.п.",Число безработных на 100 открытых вакансий,"Среднее время поиска работы в 3 квартале 2019 г., мес"
1,Москва,1.5,0.3,75.0,5.5
2,Санкт-Петербург,1.5,0.1,147.0,4.3
3,Ямало-Ненецкий автономный округ,1.8,-0.4,56.0,3.2
4,Ханты-Мансийский автономный округ − Югра,2.3,-0.2,136.0,4.6
5,Московская область,2.6,0.0,259.0,5.5
6,Республика Татарстан,3.2,-0.2,159.0,4.2
7,Брянская область,3.4,-0.4,222.0,6.8
8,Хабаровский край,3.5,1.0,164.0,7.6
9,Ивановская область,3.5,0.2,200.0,6.6
10,Ленинградская область,3.6,-0.3,173.0,4.2
11,Севастополь,3.6,-1.2,284.0,5.1
12,Самарская область,3.7,0.2,224.0,6.8
13,Липецкая область,3.7,-0.2,234.0,5.3
14,Тамбовская область,3.8,-0.2,232.0,9.5
15,Белгородская область,3.9,-0.1,123.0,5.0
16,Костромская область,3.9,-0.3,162.0,5.3
17,Тульская область,3.9,-0.2,169.0,5.4
18,Калужская область,3.9,0.4,192.0,5.0
19,Камчатский край,4.0,-1.3,113.0,4.5
20,Тюменская область,4.0,-0.5,162.0,7.4
21,Свердловская область,4.0,-1.1,249.0,6.4
22,Пензенская область,4.0,-1.0,265.0,5.8
23,Курская область,4.0,-0.2,289.0,6.3
24,Калининградская область,4.1,-0.6,127.0,5.7
25,Нижегородская область,4.1,-0.1,189.0,4.3
26,Тверская область,4.1,-0.1,205.0,6.9
27,Ульяновская область,4.1,0.3,228.0,6.7
28,Воронежская область,4.1,-0.3,239.0,5.6
29,Удмуртская Республика,4.1,-0.6,270.0,4.7
30,Республика Марий Эл,4.1,-2.2,310.0,5.7
31,Красноярский край,4.2,-0.8,107.0,6.3
32,Саратовская область,4.2,-0.4,192.0,8.5
33,Владимирская область,4.3,-0.1,172.0,6.4
34,Кировская область,4.4,-0.6,207.0,4.5
35,Рязанская область,4.4,0.5,267.0,7.6
36,Оренбургская область,4.4,-0.7,423.0,6.6
37,Чувашская Республика,4.5,-0.2,166.0,6.4
38,Вологодская область,4.5,-0.9,178.0,7.4
39,Чукотский автономный округ,4.6,0.0,126.0,8.2
40,Магаданская область,4.6,0.0,143.0,6.1
41,Ростовская область,4.6,-0.3,213.0,5.4
42,Ставропольский край,4.6,0.1,222.0,5.1
43,Новгородская область,4.6,1.1,318.0,6.0
44,Республика Башкортостан,4.7,0.2,225.0,6.9
45,Ярославская область,4.7,-0.9,272.0,6.8
46,Республика Мордовия,4.7,0.2,330.0,7.9
47,Томская область,4.8,-1.1,218.0,7.2
48,Краснодарский край,4.8,-0.2,309.0,4.6
49,Смоленская область,4.9,-0.7,285.0,6.6
50,Челябинская область,4.9,-0.5,408.0,5.2
51,Кемеровская область,5.0,-1.2,210.0,7.0
52,Приморский край,5.1,0.0,96.0,7.6
53,Сахалинская область,5.1,-0.1,125.0,7.3
54,Амурская область,5.2,-0.5,45.0,7.7
55,Пермский край,5.3,-0.2,308.0,7.8
56,Псковская область,5.4,0.0,200.0,6.6
57,Новосибирская область,5.5,-0.5,272.0,6.6
58,Алтайский край,5.5,-1.6,371.0,5.9
59,Волгоградская область,5.6,-0.2,270.0,6.6
60,Орловская область,5.7,0.3,366.0,5.8
61,Республика Крым,5.7,-0.2,396.0,4.4
62,Мурманская область,6.1,-1.4,121.0,5.3
63,Архангельская область,6.1,-0.1,294.0,5.3
64,Еврейская автономная область,6.3,0.1,52.0,9.2
65,Омская область,6.9,-0.3,219.0,5.3
66,Иркутская область,7.0,-0.6,179.0,7.3
67,Астраханская область,7.3,-0.6,455.0,6.5
68,Республика Саха (Якутия),7.4,0.1,364.0,7.0
69,Республика Карелия,7.4,-0.8,502.0,6.9
70,Республика Коми,7.8,1.1,299.0,6.0
71,Ненецкий автономный округ,8.0,0.1,330.0,6.1
72,Республика Хакасия,8.0,1.8,481.0,9.6
73,Республика Адыгея,8.2,0.1,681.0,5.8
74,Республика Калмыкия,8.6,-1.3,565.0,8.9
75,Курганская область,8.7,-0.7,486.0,7.3
76,Забайкальский край,9.2,-0.8,294.0,9.0
77,Республика Бурятия,9.4,-0.1,393.0,6.3
78,Кабардино-Балкарская Республика,11.2,-0.3,1320.0,10.2
79,Карачаево-Черкесская Республика,11.4,-4.8,1055.0,11.6
80,Республика Тыва,11.8,-3.1,1089.0,8.8
81,Республика Алтай,12.9,0.3,1113.0,7.9
82,Чеченская Республика,13.5,0.3,4342.0,7.8
83,Республика Дагестан,13.5,-0.2,23043.0,8.4
84,Республика Северная Осетия − Алания,13.6,2.9,3287.0,11.3
85,Республика Ингушетия,26.3,0.0,60000.0,3.3
