Место,Регион,"Социальные расходы консолидированного бюджета на одного жителя в 2019 году, тыс. руб.","Изменение социальных расходов консолидированного бюджета на одного жителя в 2019 году, %","Доля социальных расходов в суммарных расходах консолидированного бюджета в 2019 году, %"
1,Сахалинская область,106.29,33.3,51.8
2,Москва,97.85,15.9,43.2
3,Санкт-Петербург,93.43,15.4,62.8
4,Ямало-Ненецкий автономный округ,80.2,17.0,51.4
5,Ханты-Мансийский автономный округ — Югра,80.05,10.0,66.0
6,Тюменская область,79.78,23.7,53.6
7,Московская область,72.03,9.4,61.2
8,Ленинградская область,64.78,11.9,61.7
9,Ненецкий автономный округ,63.3,9.9,48.9
10,Иркутская область,62.48,35.0,71.6
11,Чеченская Республика,61.83,18.8,77.5
12,Свердловская область,58.12,13.3,69.9
13,Республика Татарстан,56.94,1.1,58.8
14,Севастополь,55.05,-4.9,46.5
15,Белгородская область,54.69,18.7,57.4
16,Мурманская область,54.08,13.4,64.8
17,Республика Калмыкия,54.03,17.8,68.8
18,Новосибирская область,52.77,17.9,68.1
19,Республика Крым,52.74,3.6,42.3
20,Кемеровская область,52.54,16.6,66.2
21,Красноярский край,51.77,5.7,69.1
22,Вологодская область,51.46,19.1,64.1
23,Калужская область,51.18,12.0,56.4
24,Тульская область,51.12,9.9,65.5
25,Ярославская область,50.31,4.5,67.6
26,Республика Коми,49.9,10.4,68.9
27,Челябинская область,49.7,11.0,70.8
28,Липецкая область,49.39,14.0,59.4
29,Нижегородская область,49.36,14.6,66.2
30,Удмуртская Республика,49.02,13.4,71.2
31,Самарская область,48.71,10.8,61.6
32,Республика Ингушетия,48.51,4.6,74.0
33,Курская область,48.34,12.7,63.9
34,Астраханская область,46.82,13.6,69.8
35,Республика Адыгея,46.72,16.3,62.6
36,Еврейская автономная область,46.5,14.4,64.7
37,Воронежская область,46.09,14.7,63.8
38,Ульяновская область,45.92,7.5,66.5
39,Республика Бурятия,45.87,25.1,70.8
40,Забайкальский край,45.78,13.7,66.2
41,Калининградская область,45.72,8.5,31.4
42,Краснодарский край,45.64,7.6,66.1
43,Владимирская область,45.56,8.8,71.2
44,Рязанская область,45.52,10.6,65.7
45,Республика Северная Осетия — Алания,45.41,9.3,71.1
46,Хабаровский край,45.21,5.8,62.2
47,Пермский край,44.64,4.9,63.5
48,Амурская область,44.35,15.8,58.9
49,Оренбургская область,44.31,17.8,68.2
50,Курганская область,44.11,11.6,68.7
51,Ростовская область,44.03,9.7,69.0
52,Новгородская область,43.97,16.3,59.4
53,Республика Хакасия,43.94,-5.8,72.9
54,Саратовская область,43.54,15.0,69.0
55,Республика Башкортостан,43.41,16.3,65.2
56,Костромская область,43.16,12.8,62.0
57,Омская область,42.5,6.5,67.6
58,Карачаево-Черкесская Республика,42.38,9.7,61.0
59,Республика Алтай,42.0,10.8,64.1
60,Республика Карелия,41.91,8.7,61.3
61,Республика Тыва,41.89,11.8,71.7
62,Алтайский край,41.37,14.5,71.7
63,Томская область,41.2,6.7,67.0
64,Пензенская область,40.97,7.7,66.5
65,Приморский край,40.89,20.8,57.0
66,Республика Мордовия,40.87,-2.3,61.3
67,Орловская область,40.78,8.3,67.2
68,Псковская область,40.73,17.7,59.6
69,Архангельская область,40.57,12.8,67.1
70,Тверская область,40.31,9.9,62.6
71,Брянская область,40.29,10.1,58.7
72,Чувашская Республика,40.01,14.0,70.3
73,Ставропольский край,39.67,12.1,67.7
74,Кировская область,39.11,12.8,67.6
75,Тамбовская область,39.09,11.0,60.6
76,Смоленская область,39.01,10.7,63.0
77,Волгоградская область,38.89,7.5,62.2
78,Кабардино-Балкарская Республика,37.95,13.3,68.7
79,Магаданская область,36.48,17.0,54.6
80,Республика Марий Эл,35.78,11.4,63.9
81,Республика Дагестан,35.67,10.8,70.8
82,Ивановская область,35.53,5.6,63.6
83,Республика Саха (Якутия),32.75,5.9,57.0
84,Камчатский край,27.9,8.7,48.0
85,Чукотский автономный округ,17.5,-2.8,22.9
